Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Drew Butera,$2.5K,R,KCR,C,@ SEA,9,James Paxton,L,,,,,,500,-35,,,2.75,0.03,75,0.173,0.248,0.12,0.259,0.293,0.552,25.90,10.60,0.212,7.2,2.88,9,0.111,0.098,0,0.111,0.111,0.222,22.20,0.00,0.143,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Kole Calhoun,$3.2K,L,LAA,OF,@ BAL,1,Kevin Gausman,R,,,,,,700,-2,,,4.84,-0.01,570,0.230,0.290,0.128,0.299,0.358,0.657,22.20,9.70,0.274,8.93,2.79,27,0.333,0.409,0.259,0.387,0.593,0.980,12.90,9.70,0.318,27,0.333,0.409,0.259,0.387,0.593,0.980,12.90,9.70,0.318,12,0.333,0.351,0.083,0.400,0.417,0.817,13.30,13.30,0.364
Aaron Altherr,$3.0K,R,PHI,OF,WAS,4,Gio Gonzalez,L,,,,,,1000,-21,,,4.14,-0.29,167,0.210,0.326,0.222,0.318,0.431,0.749,21.00,13.30,0.214,8.02,2.67,17,0.118,0.103,0,0.118,0.118,0.236,35.30,0.00,0.182,3,0.000,0,0,0.000,0.000,0.000,66.70,0.00,0.000,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Kyle Higashioka,$2.3K,R,NYY,C,BOS,8,David Price,L,,,,,,300,-34,,,4.89,0.21,6,0.000,0.098,0,0.000,0.000,0.000,14.30,14.30,0.000,6,2.61,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Christian Walker,$3.1K,R,ARI,1B,SFG,4,Derek Holland,L,,,,,,1100,-25,,,4.18,-0.32,18,0.333,0.519,0.556,0.368,0.889,1.257,47.40,0.00,0.500,8,2.58,2,0.500,0.440,0,0.500,0.500,1.000,50.00,0.00,1.000,1,0.000,0,0,0.000,0.000,0.000,100.00,0.00,0.000,1,0.000,0,0,0.000,0.000,0.000,100.00,0.00,0.000
Matt Joyce,$3.1K,L,OAK,OF,CLE,7,Mike Clevinger,R,,,,,,500,6,,,4.09,0.04,570,0.239,0.343,0.225,0.326,0.463,0.789,21.30,13.00,0.260,7.93,2.56,17,0.235,0.297,0.059,0.350,0.294,0.644,15.00,15.00,0.286,17,0.235,0.297,0.059,0.350,0.294,0.644,15.00,15.00,0.286,14,0.286,0.305,0.071,0.333,0.357,0.690,20.00,6.70,0.364
Robbie Grossman,$3.0K,S,MIN,OF,@ CHC,1,Jon Lester,L,,,,,,400,10,,,5.26,5.26,185,0.227,0.300,0.086,0.339,0.314,0.653,17.10,15.20,0.272,7.69,2.56,24,0.208,0.250,0.125,0.240,0.333,0.573,24.00,4.00,0.235,14,0.143,0.209,0.214,0.143,0.357,0.500,28.60,0.00,0.111,6,0.167,0.146,0,0.167,0.167,0.334,16.70,0.00,0.200
Deven Marrero,$2.7K,R,ARI,3B,SFG, ,Derek Holland,L,,,,,,700,-5,,,4.18,-0.32,111,0.243,0.304,0.180,0.289,0.423,0.712,27.30,6.60,0.303,6.89,2.55,15,0.133,0.117,0,0.133,0.133,0.266,33.30,0.00,0.200,2,0.500,0.440,0,0.500,0.500,1.000,0.00,0.00,0.500,2,0.500,0.440,0,0.500,0.500,1.000,0.00,0.00,0.500
Justin Smoak,$3.6K,S,TOR,1B,DET,4,Jordan Zimmermann,R,,,,,,400,11,,,5.24,0.22,603,0.240,0.356,0.252,0.329,0.493,0.822,23.60,13.20,0.266,8.97,2.49,47,0.213,0.316,0.191,0.321,0.404,0.725,31.60,15.80,0.310,19,0.316,0.413,0.211,0.435,0.526,0.961,34.80,17.40,0.545,10,0.300,0.447,0.3,0.462,0.600,1.062,38.50,23.10,0.600
Jarrod Dyson,$3.0K,L,ARI,OF,SFG,1,Derek Holland,L, ,,,,,900,-13,,,4.18,-0.32,95,0.179,0.233,0.042,0.275,0.221,0.496,14.20,9.70,0.212,7.44,2.48,12,0.167,0.209,0,0.267,0.167,0.434,25.00,12.50,0.222,1,0.000,0.344,0,0.500,0.000,0.500,50.00,50.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Brian Dozier,$4.0K,R,MIN,2B,@ CHC,4,Jon Lester,L,,,,,,100,7,,,5.26,5.26,215,0.293,0.392,0.242,0.374,0.535,0.909,18.20,12.10,0.323,9.9,2.48,26,0.192,0.264,0.077,0.300,0.269,0.569,16.70,10.00,0.238,15,0.333,0.383,0.133,0.412,0.467,0.879,11.80,11.80,0.385,4,0.500,0.522,0,0.667,0.500,1.167,16.70,33.30,0.667
Willians Astudillo,$2.9K,R,MIN,3B/C,@ CHC,6,Jon Lester,L,,,,,,900,-38,,,5.26,5.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.2,2.48,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Adam Jones,$3.6K,R,BAL,OF,LAA,2,Deck McGuire,R, ,,,,,800,-1,,,5.16,0.01,678,0.288,0.339,0.189,0.315,0.476,0.791,17.80,3.20,0.314,8.85,2.46,59,0.322,0.339,0.068,0.375,0.390,0.765,17.20,4.70,0.396,31,0.290,0.339,0.129,0.353,0.419,0.772,17.60,2.90,0.360,13,0.154,0.203,0.077,0.214,0.231,0.445,28.60,0.00,0.222
Chris Davis,$3.0K,L,BAL,1B,LAA,5,Deck McGuire,R,,,,,,700,-8,,,5.16,0.01,484,0.198,0.295,0.194,0.274,0.393,0.667,36.20,10.90,0.268,7.34,2.45,30,0.167,0.266,0.233,0.219,0.400,0.619,42.40,6.10,0.214,18,0.167,0.337,0.389,0.250,0.556,0.806,33.30,9.50,0.111,14,0.143,0.344,0.429,0.250,0.571,0.821,37.50,6.20,0.000
Curtis Granderson,$4.0K,L,TOR,OF,DET,1,Jordan Zimmermann,R,,,,,,1300,-25,,,5.24,0.22,532,0.226,0.347,0.239,0.335,0.464,0.799,25.40,14.00,0.261,9.81,2.45,54,0.315,0.425,0.333,0.362,0.648,1.010,25.90,6.90,0.353,24,0.250,0.405,0.417,0.308,0.667,0.975,26.90,7.70,0.214,14,0.286,0.514,0.643,0.333,0.929,1.262,33.30,6.70,0.167
Manny Pina,$2.9K,R,MIL,C,@ CIN,8,Matt Harvey,R, ,,,,,800,-40,,,4.72, ,388,0.260,0.316,0.160,0.308,0.420,0.728,20.90,5.70,0.303,7.07,2.44,49,0.265,0.339,0.184,0.333,0.449,0.782,28.30,3.80,0.364,25,0.320,0.420,0.28,0.393,0.600,0.993,28.60,3.60,0.438,6,0.333,0.431,0,0.556,0.333,0.889,22.20,11.10,0.500
Hernan Perez,$3.3K,R,MIL,2B/OF,@ CIN,5,Matt Harvey,R, ,,,,,1000,1,,,4.72, ,430,0.247,0.288,0.142,0.278,0.388,0.666,18.10,4.60,0.275,8.05,2.44,38,0.289,0.342,0.184,0.325,0.474,0.799,27.50,5.00,0.385,27,0.222,0.268,0.111,0.276,0.333,0.609,27.60,6.90,0.316,10,0.200,0.213,0.1,0.200,0.300,0.500,30.00,0.00,0.286
Kevin Pillar,$3.3K,R,TOR,OF,DET,5,Jordan Zimmermann,R, ,,,,,1200,-25,,,5.24,0.22,658,0.243,0.287,0.135,0.284,0.378,0.662,17.00,4.70,0.272,8.03,2.43,65,0.215,0.242,0.138,0.215,0.354,0.569,24.60,0.00,0.255,28,0.179,0.197,0.107,0.179,0.286,0.465,25.00,0.00,0.238,10,0.100,0.088,0,0.100,0.100,0.200,50.00,0.00,0.200
Nick Ahmed,$3.4K,R,ARI,SS,SFG,2,Derek Holland,L,,,,,,900,-2,,,4.18,-0.32,132,0.326,0.400,0.242,0.373,0.568,0.941,16.80,7.70,0.363,8.25,2.43,26,0.308,0.351,0.115,0.379,0.423,0.802,10.30,10.30,0.348,9,0.222,0.195,0,0.222,0.222,0.444,11.10,0.00,0.250,7,0.286,0.251,0,0.286,0.286,0.572,14.30,0.00,0.333
Cameron Maybin,$3.0K,R,MIA,OF,NYM,4,Steven Matz,L,,,,,,900,-13,,,3.89,-0.04,197,0.264,0.287,0.076,0.308,0.340,0.648,17.40,7.50,0.319,7.26,2.42,26,0.231,0.269,0.077,0.300,0.308,0.608,10.00,10.00,0.250,14,0.214,0.246,0.071,0.267,0.286,0.553,20.00,6.70,0.273,5,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jesmuel Valentin,$2.7K,S,PHI,2B/3B,WAS,6,Gio Gonzalez,L,,,,,,700,12,,,4.14,-0.29,14,0.286,0.425,0.357,0.375,0.643,1.018,18.80,12.50,0.300,6.5,2.41,8,0.500,0.680,0.625,0.600,1.125,1.725,0.00,20.00,0.429,3,0.000,0.172,0,0.250,0.000,0.250,0.00,25.00,0.000,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Brad Miller,$3.4K,L,MIL,1B,@ CIN,1,Matt Harvey,R,,,,,,700,2,,,4.72, ,397,0.217,0.308,0.146,0.325,0.363,0.688,28.20,15.30,0.291,8.18,2.41,21,0.381,0.451,0.190,0.480,0.571,1.051,40.00,16.00,0.727,14,0.286,0.350,0.071,0.412,0.357,0.769,47.10,17.60,0.667,12,0.250,0.313,0.083,0.357,0.333,0.690,50.00,14.30,0.600
