Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Mike Leake,$5.7K,R,STL,SP,COL,10,11.57,5.00%,3.324,-1400,7,9.0,-142,4.88,0.01,4,0.327,,0.158,6.06,5,0.315,,0.135,7.12,50,3.76,4.53,0.16,0.320,6.65,0.43,0.20,16.62,2.92
Matt Cain,$4.7K,R,SFG,SP,PIT, , ,2.00%,6.680,-1400,4,8.0,134,3.64,0.04,2,0.354,,0.165,7.67,7,0.368,,0.198,6.33,40,4.66,5.83,0.19,0.365,6.63,0.33,0.25,13.36,2.84
Justin Verlander,$8.7K,R,DET,SP,KCR,8,9.14,22.50%,0.982,-100,1,9.5,-138,5.11,-0.04,4,0.266,,0.155,10.64,5,0.298,,0.146,8.82,55,3.53,4.42,0.15,0.284,9.63,0.28,0.31,22.09,2.54
Kyle Hendricks,$7.6K,R,CHC,SP,CHW, , , , ,-800,2,8.0,-254,5.05,5.05,2,0.281,,0.126,7.69,7,0.254,,0.115,8.16,44,3.46,4.16,0.15,0.260,8.06,0.43,0.21,18.69,2.46
Hyun-Jin Ryu,$7.7K,L,LAD,SP,MIN,7,7.29,7.50%,2.445,600,-3,9.0,-260,5.72,-0.14,4,0.444,,0.295,8.24,5,0.340,,0.222,9.00,15,3.66,5.73,0.26,0.386,8.66,0.36,0.25,18.34,2.38
Martin Perez,$5.5K,L,TEX,SP,MIA, , ,1.00%,13.090,-1000,3,11.0,-143,5.98,0.01,4,0.277,,0.095,8.47,5,0.357,,0.150,4.68,51,4.81,5.18,0.13,0.321,6.36,0.38,0.23,13.09,2.38
Antonio Senzatela,$5.6K,R,COL,SP,@ STL, , ,1.00%,13.090,-300,-3,9.0,132,4.12,-0.01,2,0.328,,0.223,7.00,7,0.322,,0.189,7.93,18,4.14,5.80,0.24,0.323,7.72,0.42,0.24,13.09,2.34
Tim Adleman,$5.8K,R,CIN,SP,@ CLE, , ,1.00%,13.330,-1100,0,9.5,171,3.99,0.12,6,0.376,,0.286,6.97,3,0.349,,0.210,8.64,31,4.30,6.26,0.21,0.367,7.53,0.30,0.34,13.33,2.3
Francisco Liriano,$5.8K,L,TOR,SP,OAK,10,11.57,20.00%,0.661,-400,-4,9.5,-160,5.32,0.07,2,0.306,,0.146,9.82,7,0.370,,0.202,9.34,49,4.17,5.48,0.21,0.356,9.45,0.38,0.24,13.23,2.28
Adam Conley,$5.3K,L,MIA,SP,@ TEX, , ,1.00%,11.980,-1700,8,11.0,133,5.02,-0.01,3,0.348,,0.109,6.38,6,0.330,,0.190,8.91,33,4.54,5.03,0.12,0.336,8.07,0.28,0.28,11.98,2.26
