Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Ariel Miranda,$5.0K,L,SEA,SP,@ HOU, , ,0.25%, ,-2700,14,9.0,201,3.53,-0.09,2,0.315,,0.148,7.14,7,0.298,,0.210,7.24,30,4.54,5.96,0.21,0.302,7.22,0.27,0.32,12.64,2.53
Chad Kuhl,$5.6K,R,PIT,SP,MIL,6,8.00,7.50%,1.747,-1100,2,9.0,-117,4.63,0.02,6,0.374,,0.200,6.75,3,0.311,,0.128,7.45,33,4.26,4.79,0.13,0.353,6.98,0.36,0.25,13.1,2.34
Andrew Cashner,$6.1K,R,TEX,SP,@ BAL, , ,1.00%,13.890,-600,0,11.0,101,5.42,0.05,2,0.346,,0.179,7.24,7,0.338,,0.154,6.57,39,4.80,5.43,0.13,0.340,6.72,0.35,0.26,13.89,2.28
Zack Wheeler,$6.9K,R,NYM,SP,STL,4,6.00,27.50%,0.573,-900,4,9.0,-114,4.6,-0.01,4,0.392,,0.277,10.72,5,0.334,,0.130,7.14,15,4.02,5.42,0.21,0.360,8.73,0.35,0.25,15.76,2.28
Tom Koehler,$5.9K,R,MIA,SP,PHI,5,6.17,20.00%,0.670,200,-7,9.0,-148,4.94,-0.02,6,0.383,,0.222,8.39,3,0.338,,0.168,7.44,42,4.58,5.83,0.19,0.368,8.07,0.31,0.27,13.4,2.27
Eduardo Rodriguez,$8.2K,L,BOS,SP,TOR,2,4.00,12.50%,1.467,-400,4,9.0,-102,4.44,-0.54,0,0.334,,0.118,10.74,9,0.316,,0.216,9.19,31,3.94,4.95,0.15,0.316,9.19,0.27,0.35,18.34,2.24
Jake Odorizzi,$7.4K,R,TBR,SP,@ OAK,7,9.00,10.00%,1.635,-100,-1,9.5,-108,4.81,0.51,5,0.285,,0.174,9.26,4,0.348,,0.219,7.58,49,4.09,5.45,0.19,0.313,8.51,0.27,0.32,16.35,2.21
Brent Suter,$6.2K,L,MIL,SP,@ PIT,10,11.83,1.00%,13.600,-400,-4,9.0,107,4.37,-0.02,1,0.334,,0.127,5.52,8,0.320,,0.125,10.30,18,3.81,4.18,0.14,0.322,9.77,0.36,0.19,13.6,2.19
Daniel Gossett,$5.4K,R,OAK,SP,TBR, , ,1.00%,11.830,-1100,-1,9.5,-102,4.69,0.49,4,0.348,,0.091,7.20,5,0.368,,0.313,6.20,6,3.99,6.43,0.33,0.359,6.64,0.37,0.22,11.83,2.19
Scott Feldman,$6.6K,R,CIN,SP,WAS, , , , ,-500,0,9.0,137,4.07,-0.07,5,0.354,,0.167,7.16,4,0.312,,0.158,7.75,58,3.90,4.94,0.17,0.335,7.42,0.40,0.23,14.15,2.14
