Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Matthew Strahm,$4.0K,L,SDP,SP,@ LAD,,,,,-1500,-1,7.5,220,2.8,-0.4,1,0.566,,0.000,0.00,8,0.246,,0.200,0.00,2,10.48,0.00,0.00,0.282,0.00,0.00,0.00,11.19,2.8,1,0.523,,0.200,0.00,8,0.162,,0.088,2.60,4,7.57,0.00,0.00,0.202,2.40,0.00,0.00,1,0.572,,0.500,0.00,8,0.226,,0.102,5.00,5,6.82,0.00,0.17,0.264,4.40,0.00,0.00,1,0.393,,0.184,3.00,8,0.319,,0.192,7.10,29,4.47,0.00,0.21,0.327,6.70,0.00,0.00
Elieser Hernandez,$4.0K,R,MIA,SP,WAS,,,,,-1900,2,7.5,176,3.08,-0.04,4,0.230,,0.077,3.60,5,0.351,,0.000,1.80,1,3.59,0.00,0.00,0.297,2.60,0.00,0.00,11.05,2.76,4,0.276,,0.138,3.30,5,0.313,,0.000,1.60,3,3.93,0.00,0.09,0.297,2.40,0.00,0.00,4,0.279,,0.114,2.80,5,0.274,,0.001,1.40,4,4.24,0.00,0.08,0.276,2.00,0.00,0.00,4,0.279,,0.114,2.80,5,0.274,,0.001,1.40,4,4.24,0.00,0.08,0.276,2.00,0.00,0.00
Mike Leake,$4.4K,R,SEA,SP,MIN,,,,,-2200,5,8.0,107,3.87,-0.45,5,0.146,,0.000,1.40,4,0.306,,0.071,2.90,1,6.53,0.00,0.00,0.217,2.10,0.00,0.00,11.96,2.72,5,0.329,,0.178,0.80,4,0.329,,0.091,3.20,2,5.77,0.00,0.20,0.329,1.90,0.00,0.00,5,0.327,,0.130,1.50,4,0.330,,0.154,4.20,4,4.91,0.00,0.25,0.328,2.70,0.00,0.00,5,0.334,,0.161,2.50,4,0.314,,0.160,3.80,41,4.38,0.00,0.20,0.325,3.10,0.00,0.00
Frankie Montas,$4.0K,R,OAK,SP,ARI,,,,,-1500,-1,8.0,108,3.86,0.02,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.98,2.5,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,6,0.493,,0.396,3.60,3,0.329,,0.148,8.10,23,3.84,0.00,0.40,0.438,5.10,0.00,0.00
Jameson Taillon,$7.3K,R,PIT,SP,STL,,,,,-400,-1,8.0,-121,4.14,0.07,2,0.443,,0.381,6.00,7,0.278,,0.167,6.00,1,1.75,0.00,0.20,0.315,6.00,0.00,0.00,17.4,2.38,2,0.520,,0.494,4.00,7,0.183,,0.087,6.40,2,3.14,0.00,0.21,0.258,5.90,0.00,0.00,2,0.431,,0.287,3.60,7,0.213,,0.072,6.10,4,3.46,0.00,0.15,0.261,5.50,0.00,0.00,2,0.347,,0.152,3.30,7,0.307,,0.153,5.90,32,3.72,0.00,0.17,0.316,5.30,0.00,0.00
Kevin Gausman,$7.6K,R,BAL,SP,@ TBR,,,,,-900,2,8.0,-102,3.94, ,3,0.251,,0.000,5.90,6,0.410,,0.214,8.80,1,2.33,0.00,0.00,0.357,7.90,0.00,0.00,17.86,2.35,3,0.196,,0.000,13.30,6,0.569,,0.346,10.30,1,2.66,0.00,0.29,0.445,11.30,0.00,0.00,3,0.240,,0.018,7.50,6,0.348,,0.184,6.70,3,3.71,0.00,0.21,0.312,6.90,0.00,0.00,3,0.333,,0.161,4.10,6,0.342,,0.184,5.40,41,3.73,0.00,0.25,0.339,5.00,0.00,0.00
Tyler Chatwood,$6.6K,R,CHC,SP,SFG,,,,,600,-4,10.0,-181,5.76,5.76,4,0.626,,0.375,4.10,5,0.000,,0.000,0.00,1,8.91,0.00,0.33,0.278,1.80,0.00,0.00,15.22,2.31,4,0.454,,0.210,2.50,5,0.211,,0.111,1.20,2,7.15,0.00,0.13,0.319,1.80,0.00,0.00,4,0.383,,0.154,2.50,5,0.212,,0.022,5.90,4,5.32,0.00,0.08,0.288,4.40,0.00,0.00,4,0.355,,0.172,4.00,5,0.295,,0.161,4.00,39,4.79,0.00,0.26,0.322,4.00,0.00,0.00
Walker Buehler,$8.5K,R,LAD,SP,SDP,,,,,-1000,5,7.5,-252,4.7,0.4,6,0.180,,0.273,3.90,3,0.073,,0.000,3.90,1,3.84,0.00,1.00,0.144,3.90,0.00,0.00,19.4,2.28,6,0.366,,0.400,3.00,3,0.187,,0.000,6.80,2,3.27,0.00,0.40,0.306,4.20,0.00,0.00,6,0.309,,0.195,3.40,3,0.128,,0.000,7.50,4,2.63,0.00,0.20,0.249,4.80,0.00,0.00,6,0.272,,0.104,5.10,3,0.262,,0.077,8.20,11,3.34,0.00,0.22,0.269,6.20,0.00,0.00
Nicholas Pivetta,$7.2K,R,PHI,SP,TOR,,,,,-700,2,7.5,100,3.69,-0.37,5,0.163,,0.000,3.90,4,0.159,,0.000,5.10,1,2.57,0.00,0.00,0.161,4.40,0.00,0.00,16.25,2.26,5,0.153,,0.044,5.10,4,0.170,,0.120,6.40,2,1.43,0.00,0.10,0.161,5.70,0.00,0.00,5,0.284,,0.200,5.00,4,0.235,,0.100,6.80,4,2.13,0.00,0.19,0.262,5.80,0.00,0.00,5,0.307,,0.124,4.80,4,0.360,,0.238,5.30,35,3.44,0.00,0.25,0.331,5.00,0.00,0.00
Jason Hammel,$4.6K,R,KCR,SP,@ TEX,,,,,-1700,2,9.5,173,3.93,-0.24,6,0.000,,0.000,2.60,3,0.507,,0.000,5.10,1,3.01,0.00,0.00,0.169,3.40,0.00,0.00,10.24,2.23,6,0.161,,0.041,2.80,3,0.502,,0.133,2.80,2,3.90,0.00,0.08,0.275,2.80,0.00,0.00,6,0.362,,0.286,3.10,3,0.458,,0.197,3.10,4,4.71,0.00,0.18,0.394,3.10,0.00,0.00,6,0.325,,0.169,3.90,3,0.334,,0.149,3.50,39,4.14,0.00,0.14,0.328,3.80,0.00,0.00
