P,Jacob deGrom,"$12,200",25.59,SD @ NYM
P,Luis Severino,"$13,200",21.20,NYY @ TB
P,Corey Kluber,"$12,200",19.32,PIT @ CLE
P,Ross Stripling,"$10,200",18.93,LAD @ PHI
P,Jaime Barria,"$8,100",18.52,CWS @ LAA
P,Rick Porcello,"$9,900",15.98,BOS @ BAL
P,Patrick Corbin,"$11,200",15.63,ARI @ CHC
P,Jose Urena,"$6,500",14.14,ATL @ MIA
P,Zach Eflin,"$9,300",13.93,LAD @ PHI
P,Kevin Gausman,"$6,000",12.85,BOS @ BAL
P,Gio Gonzalez,"$7,800",12.80,WSH @ MIL
P,Sean Newcomb,"$8,200",12.77,ATL @ MIA
P,Cole Hamels,"$8,000",12.72,OAK @ TEX
P,Joey Lucchesi,"$8,300",12.71,SD @ NYM
P,Jhoulys Chacin,"$6,900",12.67,WSH @ MIL
P,Francisco Liriano,"$6,600",12.30,DET @ KC
OF,Mookie Betts,"$6,200",10.62,BOS @ BAL
OF,Mike Trout,"$5,900",10.40,CWS @ LAA
OF,Shin-Soo Choo,"$4,900",10.20,OAK @ TEX
P,Adalberto Mejia,"$5,600",10.10,MIN @ TOR
P,Heath Fillmyer,"$4,800",10.10,DET @ KC
OF,J.D. Martinez,"$5,800",9.97,BOS @ BAL
3B,Jose Ramirez,"$6,000",9.88,PIT @ CLE
1B,Joey Votto,"$4,600",9.86,STL @ CIN
3B,Eugenio Suarez,"$4,800",9.75,STL @ CIN
OF,Joc Pederson,"$4,000",9.74,LAD @ PHI
OF,Andrew Benintendi,"$5,600",9.66,BOS @ BAL
1B/3B,Matt Carpenter,"$5,500",9.66,STL @ CIN
SS,Francisco Lindor,"$5,800",9.65,PIT @ CLE
SS,Manny Machado,"$4,600",9.63,LAD @ PHI
OF,Khris Davis,"$4,600",9.53,OAK @ TEX
SS,Marcus Semien,"$4,300",9.43,OAK @ TEX
3B,Adrian Beltre,"$3,900",9.39,OAK @ TEX
OF,Eddie Rosario,"$5,100",9.38,MIN @ TOR
SS,Elvis Andrus,"$4,300",9.36,OAK @ TEX
P,Luke Farrell,"$4,800",9.31,ARI @ CHC
2B,Rougned Odor,"$4,200",9.21,OAK @ TEX
1B/3B,Max Muncy,"$4,500",9.17,LAD @ PHI
OF,Randal Grichuk,"$3,900",9.07,MIN @ TOR
OF,Rhys Hoskins,"$3,900",9.07,LAD @ PHI
C,Yasmani Grandal,"$4,100",9.06,LAD @ PHI
3B,Kris Bryant,"$4,400",9.02,ARI @ CHC
2B/OF,Whit Merrifield,"$4,700",9.01,DET @ KC
SS,Jose Peraza,"$4,300",9.00,STL @ CIN
2B/3B,Jed Lowrie,"$4,300",8.97,OAK @ TEX
OF,Justin Upton,"$4,400",8.90,CWS @ LAA
3B/SS,Eduardo Escobar,"$4,200",8.87,MIN @ TOR
OF,Bryce Harper,"$4,800",8.87,WSH @ MIL
1B/OF,Cody Bellinger,"$3,900",8.86,LAD @ PHI
2B/SS,Javier Baez,"$5,200",8.83,ARI @ CHC
SS,Paul DeJong,"$4,200",8.83,STL @ CIN
1B,Matt Olson,"$3,800",8.82,OAK @ TEX
1B,Paul Goldschmidt,"$4,900",8.77,ARI @ CHC
P,Lucas Giolito,"$4,900",8.77,CWS @ LAA
1B,Justin Smoak,"$4,600",8.75,MIN @ TOR
SS,Jurickson Profar,"$4,500",8.74,OAK @ TEX
2B/OF,Chad Pinder,"$4,200",8.73,OAK @ TEX
OF,Aaron Judge,"$5,300",8.73,NYY @ TB
C,Yadier Molina,"$4,300",8.69,STL @ CIN
2B,Brian Dozier,"$4,500",8.68,MIN @ TOR
